Feature,Avg_Importance
feature_44,1.103512443578013
feature_42,0.6467180029291477
feature_41,0.3178993499116174
feature_21,0.22390001410145313
feature_19,0.08576641042293347
feature_22,0.04782274463812134
feature_18,0.044688577906287955
feature_12,0.035889946376537564
feature_37,0.034614337539520694
feature_11,0.02915846001291443
feature_31,0.02804077168519822
feature_36,0.02500169681741034
feature_24,0.021921862832898705
feature_9,0.02107813831215396
feature_17,0.019843434781846594
feature_25,0.018601865289979168
feature_29,0.017393967992319452
feature_4,0.01502294423163647
feature_13,0.01441215968866363
feature_33,0.014387096435041272
feature_34,0.013474827978862465
feature_15,0.01329384911483708
feature_20,0.01303280928099705
feature_32,0.012732207650853405
feature_5,0.012359853179352795
feature_38,0.012273963164412243
feature_1,0.009884019853198438
feature_26,0.009449963213289064
feature_27,0.009020782717403815
feature_30,0.007872965288436487
feature_16,0.007806247542346263
feature_14,0.007006071693013429
feature_2,0.006672271272997165
feature_3,0.005218647848109843
feature_23,0.005182160063916452
feature_10,0.004394208801486612
feature_39,0.003574107907910594
feature_35,0.0034711219933966
feature_0,0.0014692891066684136
feature_43,0.0012888407253640948
feature_40,0.0005915163099283455
feature_28,0.0002911738359217626
feature_7,0.00021542158159393646
feature_6,0.0
feature_8,0.0
