Model,Type,F1_Score,ROC_AUC,Accuracy,Precision,Recall,Training_Time
Gradient Boosting,Baseline,0.9997499374843711,0.9999987135416666,0.9997,1.0,0.9995,30.705480575561523
Gradient Boosting,Otimizado,0.9997499374843711,0.9999977395833334,0.9997,1.0,0.9995,1209.717764377594
Random Forest,Otimizado,0.9997499374843711,0.99999875,0.9997,1.0,0.9995,277.2437062263489
Random Forest,Baseline,0.9997082725567826,0.9999986614583334,0.99965,0.9999166319299708,0.9995,4.0189368724823
AdaBoost,Baseline,0.9997082482390697,0.9999993125000001,0.99965,1.0,0.9994166666666666,6.9613518714904785
AdaBoost,Otimizado,0.9997082482390697,0.9999986875,0.99965,1.0,0.9994166666666666,64.01738357543945
Decision Tree,Baseline,0.9995833333333334,0.9994791666666667,0.9995,0.9995833333333334,0.9995833333333334,0.525240421295166
XGBoost,Baseline,0.9995416093678376,0.9999989687499999,0.99945,0.9996665833124948,0.9994166666666666,1.8063921928405762
SVM,Baseline,0.9993749218652331,0.999997125,0.99925,0.9994998749687422,0.99925,142.62786841392517
Neural Network,Baseline,0.9993332777731477,0.9999973854166667,0.9992,0.9994165694282381,0.99925,10.072027206420898
Logistic Regression,Baseline,0.9992916961793259,0.9999982083333333,0.99915,0.9992500624947921,0.9993333333333333,1.2525782585144043
K-Nearest Neighbors,Baseline,0.9987501041579868,0.9998161302083334,0.9985,0.9986668888518581,0.9988333333333334,10.204951763153076
Naive Bayes,Baseline,0.9982887432697525,0.99999728125,0.99795,1.0,0.9965833333333334,0.26780223846435547
